Tanggal,Beras,Beras Kualitas Medium I,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Merah,Daging Sapi,Daging Sapi Kualitas 1,Telur Ayam,Telur Ayam Ras Segar,Daging Ayam,Daging Ayam Ras Segar,Minyak Goreng,Minyak Goreng Kemasan Bermerk 1,Gula Pasir,Gula Pasir Lokal
1/1/2020,,,,,,,,,,,,,,,,,,,,
2/1/2020,11700,12150,39250,39250,32250,32250,67450,67500,49100,59100,116450,121250,25900,25900,37100,37100,12850,13450,13700,13200
3/1/2020,11750,12200,38900,38900,31100,31100,62450,63000,48400,60850,116450,121250,25850,25850,37100,37100,13000,13500,13700,13200
6/1/2020,11850,12250,36650,36650,31250,31250,65750,64250,57400,76150,116450,121250,25650,25650,35850,35850,13000,13500,13700,13200
7/1/2020,11950,12250,34600,34600,31400,31400,64350,63600,51300,64150,116450,121250,25600,25600,35900,35900,13000,13550,13900,13350
8/1/2020,11950,12250,34750,34750,31500,31500,65300,64250,54550,70600,116450,121250,25600,25600,35350,35350,13000,13550,13950,13450
9/1/2020,11950,12250,33350,33350,32000,32000,64650,62600,55200,73850,116450,121250,25900,25900,36350,36350,13050,13550,13950,13450
10/1/2020,11950,12250,33850,33850,33500,33500,65700,64650,53700,72000,116450,121250,25750,25750,36100,36100,13050,13550,13950,13450
13/01/2020,11950,12250,36150,36150,32600,32600,69850,67900,57450,78150,116450,121250,25600,25600,36350,36350,13200,13700,14150,13750
14/01/2020,11950,12250,36100,36100,33900,33900,71700,68750,57500,78250,116450,121250,25600,25600,36250,36250,13200,13700,14150,13750
15/01/2020,12050,12400,35250,35250,33250,33250,70200,66350,60950,85750,116450,121250,25650,25650,35900,35900,13250,13750,14150,13800
16/01/2020,12050,12400,34100,34100,34650,34650,67650,65900,58600,82000,116450,121250,25250,25250,34850,34850,13250,13750,14150,13800
17/01/2020,12050,12400,33900,33900,34650,34650,68200,66250,58100,81750,116450,121250,24350,24350,34850,34850,13250,13750,14150,13800
20/01/2020,12050,12400,36000,36000,36000,36000,72550,69500,64900,91100,116450,121250,24100,24100,35150,35150,13250,13750,14200,13900
21/01/2020,12050,12400,35750,35750,35000,35000,72150,69100,62500,88850,116450,121250,24100,24100,35350,35350,13250,13750,14200,13900
22/01/2020,12050,12400,34850,34850,35350,35350,72200,69250,62800,89500,116450,121250,23350,23350,35400,35400,13400,13950,14300,13950
23/01/2020,12050,12400,33900,33900,36100,36100,72150,67350,64050,91500,116450,121250,23150,23150,35600,35600,13400,13950,14300,13950
24/01/2020,12050,12400,34100,34100,36000,36000,71250,65850,64350,91400,116450,121250,23150,23150,35650,35650,13400,13950,14300,13950
27/01/2020,12050,12400,34350,34350,35350,35350,70500,64500,64650,90900,116450,121250,23000,23000,35600,35600,13400,13950,14300,13950
28/01/2020,12050,12400,33900,33900,34650,34650,69550,63750,64250,90350,116450,121250,22850,22850,35600,35600,13400,13950,14300,13950
29/01/2020,12050,12400,34100,34100,35250,35250,70650,67150,65500,93650,116450,121250,22750,22750,35000,35000,13400,13950,14300,13950
30/01/2020,12050,12400,34350,34350,35400,35400,74650,73350,65050,92750,116450,121250,22750,22750,35000,35000,13400,13950,14300,13950
31/01/2020,12050,12400,35100,35100,35400,35400,80250,73850,64600,90650,116450,121250,22750,22750,35100,35100,13400,13950,14350,14000
3/2/2020,12050,12400,33650,33650,39650,39650,81500,77650,63450,87900,116450,121250,22850,22850,35100,35100,13300,13950,14350,14000
4/2/2020,12050,12400,35400,35400,43500,43500,79600,75350,64250,89250,116450,121250,22900,22900,34850,34850,13250,13900,14350,14000
5/2/2020,12050,12400,34850,34850,53600,53600,77450,71350,65000,90500,116450,121250,23350,23350,34900,34900,13250,13900,14350,14000
6/2/2020,12050,12400,34000,34000,53750,53750,77550,72150,63550,89350,116450,121250,23400,23400,35100,35100,13200,13900,14350,14000
7/2/2020,12050,12400,35000,35000,54000,54000,74050,69350,59450,82750,116450,121250,23500,23500,35250,35250,13200,13900,14350,14000
10/2/2020,12050,12400,32750,32750,58900,58900,69850,62250,58400,80000,116450,121250,23750,23750,35650,35650,13250,13900,14350,14000
11/2/2020,12050,12400,32750,32750,59000,59000,69050,61250,56900,77250,116450,121250,24000,24000,35900,35900,13250,13900,14350,14000
12/2/2020,12050,12400,32350,32350,57150,57150,70400,63900,58900,80350,116450,121250,24150,24150,35900,35900,13250,13900,14350,14000
13/02/2020,12050,12400,31650,31650,54250,54250,66150,57750,55550,75850,116450,121250,24750,24750,35900,35900,13250,13900,14350,14000
14/02/2020,12050,12400,31000,31000,51850,51850,65200,56650,46000,57000,116450,121250,26100,26100,36100,36100,13250,13900,14350,14000
17/02/2020,12050,12400,30400,30400,52000,52000,57700,45000,47850,54400,116450,121250,26350,26350,36000,36000,13250,13900,14350,14050
18/02/2020,12050,12400,31350,31350,49100,49100,59550,49350,48600,55400,116450,121250,26350,26350,36250,36250,13250,13900,14650,14350
19/02/2020,12050,12400,32600,32600,49250,49250,58250,49400,47000,53650,116450,121250,26400,26400,36100,36100,13250,13900,14650,14350
20/02/2020,12050,12400,31250,31250,45400,45400,60450,54500,44950,49000,116450,121250,26500,26500,36100,36100,13050,13900,14900,14500
21/02/2020,12050,12400,31750,31750,46150,46150,62650,59100,49900,59000,116450,121250,26400,26400,36100,36100,13050,13900,14900,14550
24/02/2020,12050,12400,30750,30750,47100,47100,72500,68000,42550,44600,116450,121250,26400,26400,36100,36100,13050,13900,15050,14650
25/02/2020,12050,12400,29600,29600,46500,46500,70900,64350,42050,43900,116450,121250,26400,26400,36350,36350,13050,13900,15050,14650
26/02/2020,12050,12400,30250,30250,47150,47150,70900,65100,41650,43850,116450,121250,26150,26150,36400,36400,13050,13900,15050,14650
27/02/2020,12050,12400,30600,30600,47000,47000,67950,59400,43650,45400,116450,121250,26150,26150,36500,36500,13050,13900,15050,14650
28/02/2020,12050,12400,29650,29650,45250,45250,62200,51750,41200,42150,116450,121250,26000,26000,36350,36350,13050,13900,15050,14650
2/3/2020,12050,12400,29650,29650,45600,45600,58850,48650,39500,40000,116450,121250,26100,26100,36250,36250,13050,13900,15250,14800
3/3/2020,12050,12400,29850,29850,45350,45350,58150,48100,39100,39250,116450,121250,25850,25850,36400,36400,12800,13600,15750,15250
4/3/2020,12050,12400,29250,29250,45150,45150,58100,48100,39550,39750,116450,121250,25650,25650,36350,36350,12800,13600,15750,15250
5/3/2020,12050,12400,33250,33250,43850,43850,59000,49400,39600,42250,116450,121250,26000,26000,36150,36150,12800,13600,15900,15600
6/3/2020,12050,12400,32500,32500,47900,47900,56250,48500,40750,42900,116450,121250,26150,26150,36650,36650,12800,13600,16850,16650
9/3/2020,12050,12400,33100,33100,42650,42650,54700,45600,39350,41850,116450,121250,26150,26150,36100,36100,12800,13600,16950,16800
10/3/2020,12100,12400,35150,35150,42250,42250,50950,44400,39850,42600,116450,121250,26250,26250,35900,35900,12800,13600,17300,17000
11/3/2020,12100,12400,35750,35750,43100,43100,47050,42350,40950,44850,116450,121250,26250,26250,36350,36350,12700,13500,17300,17000
12/3/2020,12100,12400,35100,35100,42750,42750,44500,40150,41150,44500,116450,121250,26250,26250,36650,36650,12550,13400,18150,17700
13/03/2020,12100,12400,34350,34350,42350,42350,42650,38650,39950,44750,116450,121250,26150,26150,36500,36500,12550,13400,18150,17700
16/03/2020,12100,12400,36250,36250,40600,40600,41850,37900,44650,53750,116450,121250,26350,26350,36500,36500,12550,13400,17750,17250
17/03/2020,12100,12400,36350,36350,41650,41650,42800,38100,43850,52650,116450,121250,26350,26350,36250,36250,12550,13400,17700,17150
18/03/2020,12100,12400,37850,37850,43900,43900,42550,37650,47750,58150,116450,121250,26500,26500,36100,36100,12550,13400,17950,17400
19/03/2020,12100,12400,37850,37850,43400,43400,41150,36650,46450,58000,116450,121250,26600,26600,36250,36250,12550,13400,17950,17400
20/03/2020,12100,12400,36750,36750,43850,43850,40650,35650,46200,57250,116450,121250,26400,26400,36150,36150,12550,13400,18250,17700
23/03/2020,12100,12400,41850,41850,49100,49100,38600,34750,46250,58400,116450,121250,26500,26500,35600,35600,12550,13400,18450,17900
24/03/2020,12100,12400,42150,42150,47400,47400,38750,35500,50550,67500,116450,121250,26500,26500,35350,35350,12550,13400,18650,18050
25/03/2020,,,,,,,,,,,,,,,,,,,,
26/03/2020,12100,12400,42000,42000,43100,43100,37350,33400,48900,64500,116450,121250,26600,26600,34900,34900,12550,13400,19000,18400
27/03/2020,12100,12400,43000,43000,45350,45350,36500,33850,47300,61350,116450,121250,26350,26350,34500,34500,12550,13400,19000,18400
30/03/2020,12100,12400,46000,46000,45500,45500,33550,30150,44650,57350,116450,121250,25850,25850,34600,34600,12600,13400,19050,18500
31/03/2020,12100,12400,45850,45850,46900,46900,32950,29350,46450,61350,116450,121250,25750,25750,34750,34750,12600,13400,19050,18500
1/4/2020,12100,12400,46400,46400,45750,45750,31650,28600,45800,59850,116450,121250,25750,25750,34650,34650,12600,13400,19050,18500
2/4/2020,12100,12400,45600,45600,45500,45500,31500,28750,45700,58150,116450,121250,25750,25750,34900,34900,12800,13400,19050,18500
3/4/2020,12100,12400,46000,46000,45250,45250,30850,30500,45000,57750,116450,121250,25850,25850,34850,34850,12800,13400,19050,18500
6/4/2020,12100,12400,48750,48750,44750,44750,32150,30900,46650,62100,116450,121250,25900,25900,34250,34250,12800,13400,19050,18500
7/4/2020,12100,12400,47900,47900,45650,45650,30550,28600,45650,60750,116450,121250,25850,25850,34600,34600,12800,13400,19050,18500
8/4/2020,12100,12400,47650,47650,44500,44500,30450,28250,44300,57650,116450,121250,25750,25750,33750,33750,12800,13400,19050,18500
9/4/2020,12100,12400,49250,49250,44600,44600,31350,28750,42000,52900,116450,121250,25500,25500,33850,33850,12800,13400,19050,18500
10/4/2020,,,,,,,,,,,,,,,,,,,,
13/04/2020,12100,12400,50750,50750,41500,41500,27900,25400,39500,48650,116450,121250,25350,25350,34000,34000,12800,13400,19000,18400
14/04/2020,12100,12400,50650,50650,41250,41250,28100,25400,38250,46250,116450,121250,25100,25100,34000,34000,12800,13400,19000,18400
15/04/2020,12100,12400,50250,50250,40900,40900,27200,24900,37550,44750,116450,121250,25000,25000,33600,33600,12800,13400,19100,18550
16/04/2020,12100,12400,49000,49000,41000,41000,26700,24250,37550,44350,116450,121250,24900,24900,33150,33150,12800,13400,19100,18550
17/04/2020,12100,12400,50100,50100,41500,41500,27450,25750,36300,42100,116450,121250,24900,24900,33500,33500,12800,13400,19100,18550
20/04/2020,12100,12400,48500,48500,40150,40150,24450,23350,33550,38500,116450,121250,24900,24900,33400,33400,12800,13400,19500,18900
21/04/2020,12100,12400,48650,48650,38250,38250,25500,24350,32150,36150,116450,121250,25150,25150,33750,33750,12750,13400,19500,18900
22/04/2020,12100,12400,46500,46500,39650,39650,27200,26150,32550,37350,116450,121250,24400,24400,33500,33500,12750,13400,19500,18900
23/04/2020,12100,12400,47750,47750,40400,40400,28400,27250,32250,36500,119800,124600,24600,24600,34250,34250,12750,13400,19500,18900
24/04/2020,12100,12400,47150,47150,37250,37250,26350,25150,30450,34650,116650,121650,24350,24350,33850,33850,12750,13400,19500,18900
