,Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
0,1,-0.9365942962415699,-0.08915445201357695,-0.32227916752611036,0.7354454707621746,0.5692653526096592,2.499632507073238,-0.5049985391440419,-0.15137354838347605,-0.8956399543272059,-0.9043033728090907,2020.0
1,2,-0.925876458559824,-0.23789113043177212,-0.3211622442873782,0.6602692599738981,0.8901098251546854,2.423404504636141,-0.5125936241104136,-0.19886739810829618,-0.886238179270624,-0.8911545549964163,2020.0
2,3,-0.9386726329743652,-0.26205540014787104,-0.30040497090121804,0.6871707968710198,1.1078269411809887,2.299041902488441,-0.5536905079698353,-0.24600209146042348,-0.8973502272788982,-0.8958638098078383,2020.0
3,4,-0.9342551014998276,-0.2883588380450441,-0.2662744631400626,0.6664318640157793,1.3048710658143352,2.187672441886193,-0.6138882603457454,-0.2737315247962901,-0.8920940221357719,-0.8903731617535656,2020.0
4,5,-0.9266426583248449,-0.3012677919548399,-0.2770615698958916,0.6715375557318347,1.330516353901321,2.173177660635768,-0.6299028537904436,-0.27563767448065934,-0.8825019004526452,-0.8822171213695987,2020.0
5,6,-0.9777672404678158,-0.3406674345460721,0.0706612048046659,0.7677943107433818,1.1923360209112526,2.148847451803681,-0.6675473169351362,-0.3274543637289395,-0.9343938993072282,-0.9318087332777892,2020.0
6,7,-0.9816242525852344,-0.3787624582799965,0.3596667344400742,0.48605349639340584,0.9062206251147722,2.349416676862743,-0.6098084758944404,-0.2627804176496994,-0.935721070277729,-0.9326608581238953,2020.0
7,8,-0.9343831612324468,-0.3114174973264663,0.24098676993363494,0.3419287679131567,0.4340505913119435,2.6214538873342015,-0.47704077556471075,-0.15984116379087376,-0.885382191339475,-0.8703552272389637,2020.0
8,9,-0.9182914007899284,-0.34215051910235905,0.19054473616645162,0.6807670282945355,0.10559880988499795,2.6108551930025268,-0.47021785070989414,-0.14210610492046238,-0.8696582368883329,-0.845341654937535,2020.0
9,10,-0.8876176717188896,-0.27255560988656297,0.2151719818475037,0.31424684369941364,0.057583107626680535,2.731274513710773,-0.43712626967413143,-0.09102918515118436,-0.8457269583184177,-0.784220752135185,2020.0
10,11,-0.8955879959990788,-0.14553515245898987,0.12130733517101931,0.10818393414003526,0.15798555856530808,2.7671868814948053,-0.43088500051730994,-0.09135906102338902,-0.8585732751424571,-0.7327232242299433,2020.0
11,12,-0.9168550051667689,-0.09920745924873069,0.08917375104607941,-0.09322710336635576,0.5303911183679627,2.6995990937027337,-0.4503872463415248,-0.12445785075209147,-0.8836308058202416,-0.7513984924210626,2020.0
12,13,-0.9444084397939954,0.032354241235092486,0.16283468313135674,-0.22533440577006889,0.7092982266216672,2.617421303255124,-0.48343208237365115,-0.2020197186600781,-0.9116860719203241,-0.7550277357251228,2020.0
13,14,-0.9255923534344759,0.17547551704020006,0.1692436762481182,-0.3657106570090151,0.5992406909017673,2.6445964371871646,-0.4864115734030219,-0.19253108131326624,-0.8927931913708871,-0.7255174648465842,2020.0
14,15,-0.9244025505994923,0.25464890393530226,0.13956955043607433,-0.37644463251420046,0.5810483514046427,2.6418288026790733,-0.4870191002892593,-0.21304014124661344,-0.8916397453328081,-0.7245494384727191,2020.0
15,16,-0.8670113493599789,0.38230838643432613,0.08710488859895657,-0.44538662263098694,0.21915219312397052,2.735331782857507,-0.4483651332593707,-0.16375189543603236,-0.8339167868223814,-0.6654654635060102,2020.0
16,17,-0.8267770048585886,0.3416171375234159,0.05803917659977446,-0.4015755115250073,-0.02501574544437257,2.799844292367911,-0.4204365894394152,-0.12031382332769665,-0.7936873944824345,-0.6116945374135864,2020.0
17,18,-0.8084124931872987,0.4182154335296168,0.040791456078258195,-0.4223357826284308,-0.10177262274070478,2.797717038094678,-0.4462338074015517,-0.11825401913596062,-0.7705052814782103,-0.5892099211303962,2020.0
18,19,-0.7733995348593313,0.5248837913621318,-0.016711382620639564,-0.43632566156224617,-0.18829784164521127,2.7900690122765606,-0.46397466443824353,-0.11104327478580694,-0.7335524424792176,-0.5916480012479959,2020.0
19,20,-0.7668943185852966,0.540326639510435,-0.016206557873738304,-0.4524870958347734,-0.257684270192439,2.783962511550766,-0.4910587035742706,-0.0382474765820224,-0.715033333389334,-0.5866773950293266,2020.0
20,21,-0.7830637342893034,0.6316158540010557,-0.1353976973229172,-0.4435406330996173,-0.1693500074418859,2.752606378554201,-0.5073298218079826,-0.0016461726118288562,-0.7305919822872611,-0.6133021836944604,2020.0
21,22,-0.7705318025944715,0.5883342322911522,-0.19753785140170782,-0.3545672063804842,-0.25302397452353875,2.7802174228032177,-0.44450549745377876,-0.007506946069424182,-0.7212108042639551,-0.6196675724070096,2020.0
22,23,-0.7632587908727785,0.7161064629923286,-0.23240476837764767,-0.4424043743352803,-0.30305519343030846,2.735693751514245,-0.4088356640892647,0.04512259191208611,-0.7101733886232654,-0.636790626690115,2020.0
23,24,-0.7589816776336301,0.6655325330967118,-0.2759185642014222,-0.46193107939339223,-0.3711392565020735,2.733498199440093,-0.3809460387655958,0.19006176722335985,-0.705202549091734,-0.6349733341723167,2020.0
24,25,-0.744160232931543,0.4562949879378328,-0.32517278622532864,-0.40287007519307105,-0.34700508229890914,2.8003772472497643,-0.32099896491714414,0.19751806683039316,-0.6895794927475917,-0.6244036677044028,2020.0
25,26,-0.7198880325533409,0.3996102698061807,-0.36167420827230334,-0.42447376959527594,-0.36968435640023356,2.8173933807406253,-0.24344442190405394,0.19583210143163698,-0.6807985096890417,-0.6128724535641937,2020.0
26,27,-0.7199983365515263,0.28335459967985405,-0.3962841468524774,-0.4004714945799278,-0.2600342938746688,2.8360261950678765,-0.25294801310513737,0.22118859111078296,-0.6797353776337342,-0.6310977232610413,2020.0
27,28,-0.7095927108382337,0.1910106340800947,-0.42328680355526316,-0.34928674399792653,-0.18480626227441407,2.8579210774281263,-0.2675312196834891,0.1887486235259403,-0.6691996652283337,-0.6339769294565011,2020.0
28,29,-0.7109284001553231,0.09668678137063817,-0.424857480434079,-0.31522939555224166,-0.04602433504358791,2.8746883997521073,-0.24679292836269234,0.09149728622830268,-0.6694124390166392,-0.649627488786485,2020.0
29,30,-0.6852523512458694,0.03618537068185815,-0.3859772872731536,-0.282544193657448,-0.15673842462016335,2.9024817580261777,-0.21866858412047613,0.05563987104844856,-0.6414797254210409,-0.623646433418333,2020.0
30,31,-0.6819173079498008,-0.03656096045872206,-0.39030012333856534,-0.23914983226462783,-0.1402294847031504,2.9065172201903544,-0.23281893002069326,0.07660391715160812,-0.6356225852910293,-0.6265219133153734,2020.0
31,32,-0.7005788744872924,0.0028605670450483353,-0.4031449146896529,-0.20648093034257986,-0.12066391899112978,2.895934055787115,-0.26401733568048386,0.08185122522081488,-0.6469432423926361,-0.6388166314692033,2020.0
32,33,-0.6788513899869977,-0.0004906177234307379,-0.3848078344108421,-0.2457994794387997,-0.18823366655625978,2.912470345526004,-0.2395849882753437,0.0521690179248018,-0.6101649087066944,-0.6167064783524376,2020.0
33,34,-0.6553610616696497,-0.09774572869037318,-0.3039981837251056,-0.30970477339009816,-0.2444866057901828,2.925116339565705,-0.22655160970020607,0.09301741153937931,-0.5868819856897386,-0.5934038024497301,2020.0
34,35,-0.6409823151763767,-0.1282225245239997,-0.2608103484093348,-0.3044633420226884,-0.26439380310893845,2.9359570122461767,-0.22106657810463975,0.042805995229810885,-0.5725709072748524,-0.5862531888551573,2020.0
35,36,-0.650568308275993,-0.12449086241988597,-0.21940006064935103,-0.32702904833224955,-0.23048910786516483,2.9318462393269082,-0.2582117259046993,0.051303150795514965,-0.5791417982682513,-0.5938184784068283,2020.0
36,37,-0.6722365798525636,-0.12172198454022513,-0.2127107226477341,-0.2375853416987078,-0.22776641312595503,2.928037230156784,-0.29420782980158205,0.036690063100186174,-0.5891029846032568,-0.6093954369869459,2020.0
37,38,-0.66430500470332,-0.08839740204367026,-0.21397861693367906,-0.2502794368628222,-0.20743792865815777,2.9330735468333904,-0.3133970787216027,-0.013833555702727533,-0.5809112291904236,-0.6005332940169874,2020.0
38,39,-0.6798718466503604,-0.10389251726318215,-0.21790890328521742,-0.1844903073822071,-0.19988907216104518,2.924094378184088,-0.34601352091342374,0.02028050084702294,-0.5963253568928345,-0.6159833544828406,2020.0
39,40,-0.7087913766809488,-0.09646662140313401,-0.23319614271047218,0.00903861018257644,-0.16877550286374554,2.9066526963496275,-0.38405876357602076,-0.05472467619632645,-0.6249788095334219,-0.6446994135681341,2020.0
40,41,-0.731890832282621,-0.0050791618089906536,-0.2714893908870165,0.1548325132095538,-0.23937598073984984,2.874314052100743,-0.4287795630364045,-0.03948638696666927,-0.6466919890350358,-0.6663532605537092,2020.0
41,42,-0.7352066239048503,-0.0036691534567927647,-0.27164839699755006,0.1860129761399046,-0.27721764778018193,2.8700642503812546,-0.4033447978574332,-0.04429192387128409,-0.6510126561909448,-0.6696860264621223,2020.0
42,43,-0.7487479580951304,0.00357938368634574,-0.3047730274584845,0.17368220474387724,-0.27029272589276865,2.8651160298163254,-0.3438507025662958,-0.02170617079517921,-0.6633681637419293,-0.6896388696967604,2020.0
43,44,-0.7687068103562128,-0.009510451152017992,-0.31286104824224703,0.26924415157954384,-0.2579299941745569,2.8403454285388903,-0.37517090061753733,0.002787546027315618,-0.6834406965794998,-0.704757225023678,2020.0
44,45,-0.789953306514188,0.008990588763845972,-0.3219816349601541,0.2240402027855097,-0.12471560310873515,2.8342748746625492,-0.3970678707900765,-0.008463667810653535,-0.7043286516204169,-0.7207949314076806,2020.0
45,46,-0.7985698377718706,0.013916052059355003,-0.32390354900147195,0.14613507400097026,-0.07797616819006759,2.8391060033968185,-0.3807577284363665,0.01292440939479289,-0.7017194041996375,-0.7291548512525227,2020.0
46,47,-0.8147710941444573,-0.00928136315542913,-0.32319032416226434,0.16441271875331603,-0.06198624678804455,2.833136103194742,-0.34805111832859237,0.010275794922082252,-0.7053835998126139,-0.7451608704787388,2020.0
47,48,-0.8323053812668314,-0.06506783664966476,-0.33560433813961954,0.17202412793639107,0.1312946423999597,2.811824605143147,-0.3591148541809742,-0.03559690809078352,-0.7246868219226023,-0.7627672352290218,2020.0
48,49,-0.8697832565053517,-0.168470946111334,-0.3988835633816577,0.42202231986917116,0.38822413623572455,2.7066495404761888,-0.40310833633583854,-0.11094903742748732,-0.7641639326508309,-0.8015369241685845,2020.0
49,50,-0.9040965206057562,-0.2086990027719206,-0.4295993610746413,0.6047246992814191,0.5134139013548433,2.6063849857067947,-0.417637247809151,-0.12695789545773695,-0.8004248723048404,-0.8371086863190106,2020.0
50,51,-0.9071773428806523,-0.26961832967917776,-0.42996826221629564,0.5772597571336242,0.5055663741230166,2.615080157261028,-0.367236552082014,-0.08078307978516674,-0.8031579255661547,-0.8399647963082076,2020.0
51,52,-0.9121898304399332,-0.367175613733693,-0.47648783127553124,0.8249463058735227,0.6083843654604472,2.492473247054204,-0.38934743144265077,-0.12173874793220746,-0.8116432152481481,-0.8472212483160105,2020.0
52,53,-0.9034759742757426,-0.37586468180463706,-0.4536834565053901,0.6228095935216934,0.7478384248742365,2.5221064880514055,-0.41373648549233694,-0.10557413767735485,-0.8023115671647636,-0.83810820352711,2020.2
53,54,-0.8958998186888564,-0.4098731073988917,-0.4774082143746484,0.48136424574561326,1.4220519910271785,2.2138234125588534,-0.5195116911084884,-0.17392409348777513,-0.8040633761486013,-0.8365593481243839,2021.0
54,55,-0.8672603574769817,-0.41727756387572607,-0.47331099941946564,0.2937181208042758,1.4266798813136634,2.278902694353907,-0.5136207668259314,-0.14768812654028507,-0.7729183486533385,-0.8072245336801179,2021.0
55,56,-0.8609946577234255,-0.3987196501127325,-0.45061374774128776,0.27202647383336326,1.209699134432085,2.4211578963124945,-0.5144375229856027,-0.11717925838080082,-0.762574817393407,-0.7983638502406865,2021.0
56,57,-0.8339662559091255,-0.37682417115877603,-0.4262984227551342,0.08427585371928212,1.2914475926704214,2.42115678912212,-0.5314665461485355,-0.11305573264790647,-0.7406719528988501,-0.7745971539934957,2021.0
57,58,-0.8684836014847578,-0.3673053456649238,-0.4278749493755839,0.4555961075389744,1.1401734890129465,2.4079093806314136,-0.5783129418476419,-0.17686324283512744,-0.7755163027660702,-0.8093225932092293,2021.0
58,59,-0.8973025266710435,-0.31715155855994187,-0.46599908855790323,0.5539608908090794,1.068902464825836,2.4000246616647476,-0.5429036457235166,-0.15802646101450227,-0.8037412221008964,-0.8377635146718589,2021.0
59,60,-0.8889792140496297,-0.32293333444372757,-0.44156409726298257,0.31262695142956604,1.4200263346699418,2.2689609563832978,-0.5285242039449703,-0.1865884758188825,-0.8004087350216792,-0.8326161819409339,2021.0
60,61,-0.8815647685521457,-0.33281241196887407,-0.46628579095107975,0.3383972865596842,1.59038270515093,2.14144074390472,-0.543910424025184,-0.2208587332448359,-0.7970230889664877,-0.8277655179067269,2021.0
61,62,-0.8877224293188385,-0.22158379149214366,-0.45287842643613424,0.2584093276991476,1.6724090261680802,2.0885880312472347,-0.5721830745588251,-0.24579784269674898,-0.8044866283030077,-0.8347541923087642,2021.0
62,63,-0.872465600934414,-0.23787795248977986,-0.45844336816276926,0.18014895961670976,1.7672341852413482,2.0355477006759486,-0.5619489263556805,-0.24034237054199203,-0.7911398052114125,-0.8207128218379585,2021.0
63,64,-0.8477645334842652,-0.2530971039048239,-0.4711649040416388,0.1435786087250013,1.956887363725098,1.8751984735151166,-0.5796219051678854,-0.25840457417270407,-0.766306402851148,-0.7993050223427507,2021.0
64,65,-0.8597632219749464,-0.2782529202609231,-0.44229952981653614,0.1734172602336062,1.833877289112961,1.9849157974703318,-0.5993603072471672,-0.23946950742912618,-0.7660567151950147,-0.8070081448931854,2021.0
65,66,-0.8763075015631253,-0.26480054563435607,-0.4316944011666582,0.21587998916005452,1.5198816855293389,2.221557227452967,-0.6205566031049805,-0.171353101966957,-0.7740071421798673,-0.8185996065264157,2021.0
66,67,-0.8816114268179839,-0.32639332196289716,-0.4250801250917217,0.26237270463569934,1.12846821764731,2.450256334341595,-0.5654222643854042,-0.051300363666117024,-0.7725806811515771,-0.8187090735489031,2021.0
67,68,-0.8613708037159783,-0.26726630410492025,-0.4230572938127113,0.09839855774808148,0.9217499023177543,2.5870183570699457,-0.4903245605259199,-0.0068074473913767065,-0.7569720057770786,-0.8013684018077962,2021.0
68,69,-0.8354886361617925,-0.22248872490598565,-0.3562553089561143,0.20701832866366643,0.4079590016607075,2.755853348662313,-0.4501827147130524,-0.011370159644260932,-0.7235318212502717,-0.7715133133552092,2021.0
69,70,-0.8005430567950048,-0.17856075303715066,-0.32426586678783315,-0.09390205058122049,0.4955413641374497,2.7842058781501464,-0.452981649093278,-0.008379483814515537,-0.6896804702455726,-0.7314339119330211,2021.0
70,71,-0.8091395057493151,-0.20849594587841225,-0.33992275168509734,-0.05833505591068654,0.6054279567489532,2.7503364848484058,-0.4748081576445899,-0.033836638161633396,-0.6912588838744594,-0.739967502693165,2021.0
71,72,-0.7934426563287924,-0.20921563739471938,-0.3845425776186406,0.1802690418946626,0.48503197825704913,2.7601637831090735,-0.5086834648241687,-0.09919504067702387,-0.6934239320399783,-0.7369614943774621,2021.0
72,73,-0.7935731500663368,-0.15364455596358384,-0.29610017638610725,-0.1772002097342373,0.4293578748600898,2.8048333878506333,-0.45510083933801826,0.031435580805836374,-0.663736629878092,-0.7262712821501839,2021.0
73,74,-0.7676235475949672,-0.12198998427264304,-0.21850221796515543,-0.2702712322063498,0.21968550971923986,2.8613843507127585,-0.39858443178988157,0.0203748048906415,-0.6241494224122285,-0.7003238290814146,2021.0
74,75,-0.7541206542622598,-0.11816471622825399,-0.19798557883193565,-0.26773558493889116,0.08437139776146166,2.8818315357409596,-0.34457249006206137,0.036628078073278225,-0.6228265251197554,-0.697425462132542,2021.0
75,76,-0.7501312850795894,-0.14937033935805813,-0.21078808368492435,-0.2635596407036395,0.12641322133296737,2.882758106293541,-0.33272913916884805,0.009838764867896045,-0.6189477535076421,-0.6934838509917031,2021.0
76,77,-0.7286029939708673,-0.11601201596151832,-0.21464451096593337,-0.35576027942104527,0.10115772454519074,2.891387824188161,-0.32129832333516534,0.013814491017184639,-0.5978852295071847,-0.6721566865888225,2021.0
77,78,-0.7477838819388858,-0.13882009446493546,-0.27184616454419647,-0.2919478818006181,0.3244062428999578,2.8542664823184367,-0.3809275420091905,-0.0350597598031119,-0.617713946750275,-0.6945734539071814,2021.0
78,79,-0.783073388653956,-0.145630508967998,-0.29996798097967353,-0.24696907549641892,0.6359577455213175,2.7652324537276787,-0.4275147974723413,-0.10806535068591093,-0.6549441666065273,-0.7350249303861702,2021.0
79,80,-0.7764156507533879,-0.12787008311815604,-0.3017159264585704,-0.3350483526197077,0.7614735286811539,2.7249258386729744,-0.4537232836934121,-0.11264061254453296,-0.6499823101421774,-0.729003148024184,2021.0
80,81,-0.7770882947880522,-0.12376125349844226,-0.3092034267902529,-0.3308858962828339,0.8325497693848645,2.6992392153053526,-0.46839840016999196,-0.14087899257153247,-0.6515582082520572,-0.7300145123370541,2021.0
81,82,-0.8297695367641887,-0.07653803926228973,-0.3396483964541973,-0.12062117298705526,0.8884313446341523,2.6462029129980307,-0.4795342459902643,-0.1969856566047593,-0.7075863629758622,-0.7839508465935663,2021.0
