Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
1,12175.0,39075.0,31675.0,65250.0,59975.0,121250.0,25875.0,37100.0,13475.0,13200.0,2020.0
2,12250.0,34640.0,31930.0,63870.0,71350.0,121250.0,25700.0,35910.0,13540.0,13380.0,2020.0
3,12340.0,35100.0,33810.0,67030.0,81180.0,121250.0,25290.0,35640.0,13730.0,13780.0,2020.0
4,12400.0,34920.0,35690.0,68210.0,90470.0,121250.0,23570.0,35430.0,13870.0,13930.0,2020.0
5,12400.0,34360.0,35210.0,68520.0,91660.0,121250.0,22820.0,35260.0,13950.0,13960.0,2020.0
6,12400.0,34580.0,48900.0,73170.0,87950.0,121250.0,23200.0,35040.0,13910.0,14000.0,2020.0
7,12400.0,32100.0,56230.0,60360.0,74090.0,121250.0,24550.0,35890.0,13900.0,14000.0,2020.0
8,12400.0,31470.0,48380.0,51470.0,54290.0,121250.0,26400.0,36110.0,13900.0,14360.0,2020.0
9,12400.0,30170.0,46600.0,61720.0,43980.0,121250.0,26220.0,36340.0,13900.0,14650.0,2020.0
10,12400.0,30900.0,45570.0,48550.0,40830.0,121250.0,25950.0,36360.0,13660.0,15510.0,2020.0
11,12400.0,34690.0,42620.0,42230.0,43710.0,121250.0,26210.0,36300.0,13500.0,17240.0,2020.0
12,12400.0,37010.0,42680.0,37190.0,55960.0,121250.0,26440.0,36250.0,13400.0,17380.0,2020.0
13,12400.0,42250.0,46237.5,34375.0,62937.5,121250.0,26487.5,35087.5,13400.0,18187.5,2020.0
14,12400.0,45970.0,45780.0,29470.0,58890.0,121250.0,25790.0,34750.0,13400.0,18500.0,2020.0
15,12400.0,48387.5,44875.0,29125.0,58350.0,121250.0,25750.0,34112.5,13400.0,18500.0,2020.0
16,12400.0,50150.0,41230.0,25140.0,45220.0,121250.0,25050.0,33650.0,13400.0,18490.0,2020.0
17,12400.0,47710.0,39140.0,25250.0,36630.0,122000.0,24680.0,33750.0,13400.0,18900.0,2020.0
18,12250.0,49462.5,38012.5,23962.5,33687.5,121650.0,23237.5,33187.5,13400.0,18900.0,2020.0
19,12100.0,52012.5,35362.5,22462.5,30087.5,121650.0,21612.5,32462.5,13325.0,17687.5,2020.0
20,12100.0,52430.0,35260.0,21800.0,27810.0,121650.0,20610.0,34580.0,13700.0,17660.0,2020.0
21,12100.0,57933.333333333336,33083.333333333336,23100.0,31983.333333333332,126650.0,21033.333333333332,37416.666666666664,13800.0,17600.0,2020.0
22,12100.0,58937.5,31850.0,26437.5,29937.5,134487.5,23337.5,38400.0,13800.0,17300.0,2020.0
23,12100.0,59475.0,29100.0,22375.0,26837.5,124150.0,23450.0,37987.5,13800.0,16150.0,2020.0
24,12100.0,57130.0,27370.0,21490.0,24360.0,122500.0,24050.0,42100.0,13800.0,16020.0,2020.0
25,12100.0,49490.0,25150.0,22730.0,24470.0,122500.0,25280.0,41430.0,13800.0,15830.0,2020.0
26,12100.0,47040.0,23280.0,21320.0,23030.0,122500.0,26970.0,40680.0,13320.0,15440.0,2020.0
27,12100.0,43250.0,22150.0,22020.0,26380.0,122500.0,26600.0,41320.0,13350.0,14860.0,2020.0
28,12100.0,39970.0,20960.0,23250.0,28340.0,122500.0,25780.0,39900.0,13350.0,14440.0,2020.0
29,11950.0,36850.0,20770.0,24150.0,32450.0,122500.0,26260.0,36690.0,13230.0,13840.0,2020.0
30,11850.0,34100.0,21080.0,24270.0,28150.0,122500.0,26240.0,34700.0,13200.0,13750.0,2020.0
31,11850.0,32237.5,21062.5,25837.5,28962.5,125212.5,26037.5,35812.5,13312.5,13600.0,2020.0
32,11850.0,33490.0,21000.0,27050.0,29690.0,122490.0,25280.0,35920.0,13500.0,13750.0,2020.0
33,11850.0,32590.0,20840.0,25090.0,26850.0,121650.0,25280.0,34200.0,13950.0,13750.0,2020.0
34,11850.0,28950.0,22625.0,22450.0,24450.0,121650.0,25000.0,34800.0,13950.0,13750.0,2020.0
35,11850.0,27590.0,23520.0,22180.0,23410.0,121650.0,24740.0,32840.0,13950.0,13530.0,2020.0
36,11810.0,27940.0,25030.0,21730.0,24690.0,121650.0,23840.0,33330.0,14000.0,13550.0,2020.0
37,11650.0,28470.0,25690.0,24930.0,25230.0,121650.0,23200.0,33310.0,14190.0,13570.0,2020.0
38,11650.0,29260.0,25420.0,24310.0,25620.0,121650.0,22380.0,31540.0,14200.0,13600.0,2020.0
39,11650.0,29230.0,25750.0,26770.0,26300.0,121650.0,21840.0,33020.0,14200.0,13600.0,2020.0
40,11650.0,30280.0,26120.0,33490.0,28080.0,121650.0,21530.0,31550.0,14200.0,13600.0,2020.0
41,11600.0,33780.0,25650.0,38660.0,26630.0,121650.0,20850.0,32730.0,14200.0,13600.0,2020.0
42,11600.0,33930.0,25750.0,39720.0,25580.0,121650.0,21730.0,32690.0,14170.0,13600.0,2020.0
43,11600.0,34510.0,25120.0,39690.0,26170.0,121650.0,23930.0,33740.0,14200.0,13400.0,2020.0
44,11600.0,34750.0,25500.0,43250.0,27175.0,121650.0,23600.0,35125.0,14200.0,13550.0,2020.0
45,11600.0,35860.0,25810.0,42390.0,31800.0,121650.0,23530.0,35330.0,14200.0,13700.0,2020.0
46,11600.0,36180.0,25960.0,40180.0,33400.0,121650.0,24240.0,36150.0,14530.0,13700.0,2020.0
47,11600.0,35900.0,26430.0,41140.0,34310.0,121650.0,25680.0,36490.0,14900.0,13700.0,2020.0
48,11600.0,34770.0,26600.0,41930.0,40700.0,121650.0,25890.0,35660.0,14850.0,13700.0,2020.0
49,11600.0,33180.0,26090.0,51350.0,50310.0,121650.0,25960.0,34950.0,14850.0,13700.0,2020.0
50,11600.0,33400.0,26475.0,58900.0,56037.5,121650.0,26850.0,35962.5,14850.0,13700.0,2020.0
51,11600.0,31520.0,26510.0,57980.0,55740.0,121650.0,28470.0,37420.0,14850.0,13700.0,2020.0
52,11600.0,29216.666666666668,25683.333333333332,67750.0,60750.0,121650.0,28500.0,37150.0,14850.0,13700.0,2020.0
53,11600.0,28550.0,26050.0,60633.333333333336,64650.0,121650.0,27333.333333333332,37233.333333333336,14850.0,13700.0,2020.2
54,11600.0,28800.0,26410.0,60340.0,93630.0,121650.0,24920.0,37150.0,14850.0,13700.0,2021.0
55,11600.0,27340.0,25380.0,52210.0,91840.0,121650.0,23970.0,36770.0,14900.0,13700.0,2021.0
56,11600.0,27100.0,25360.0,49590.0,81030.0,121650.0,23220.0,36540.0,14900.0,13700.0,2021.0
57,11600.0,27770.0,26020.0,44080.0,86780.0,126740.0,22300.0,37100.0,14900.0,13700.0,2021.0
58,11600.0,29390.0,27240.0,58600.0,82900.0,127900.0,21900.0,36150.0,14900.0,13700.0,2021.0
59,11600.0,32062.5,26812.5,62787.5,80950.0,127900.0,24100.0,37675.0,14900.0,13700.0,2021.0
60,11600.0,32690.0,28270.0,56370.0,97630.0,129260.0,25030.0,37770.0,14900.0,13700.0,2021.0
61,11600.0,33020.0,27810.0,59220.0,108090.0,129600.0,24780.0,37390.0,14900.0,13700.0,2021.0
62,11600.0,38010.0,28840.0,57040.0,113100.0,129600.0,24110.0,37050.0,14900.0,13700.0,2021.0
63,11600.0,37350.0,28400.0,54312.5,118712.5,129600.0,24200.0,37250.0,14900.0,13700.0,2021.0
64,11600.0,37370.0,27920.0,54560.0,133140.0,129600.0,23220.0,37140.0,15130.0,13700.0,2021.0
65,11510.0,35650.0,28840.0,54400.0,123330.0,129600.0,22320.0,37260.0,15400.0,13700.0,2021.0
66,11500.0,34812.5,28450.0,53137.5,102850.0,129600.0,21250.0,38375.0,15400.0,13700.0,2021.0
67,11500.0,31360.0,27830.0,52420.0,83400.0,130680.0,22810.0,41200.0,15400.0,13750.0,2021.0
68,11500.0,33580.0,27790.0,47170.0,77770.0,139660.0,25290.0,43260.0,15380.0,13730.0,2021.0
69,11500.0,32580.0,27980.0,47350.0,54260.0,135000.0,24750.0,39840.0,15350.0,13700.0,2021.0
70,11500.0,33100.0,28040.0,36040.0,56510.0,135990.0,23570.0,39010.0,15350.0,13900.0,2021.0
71,11500.0,32340.0,27780.0,37550.0,60580.0,135000.0,23100.0,38400.0,15590.0,13900.0,2021.0
72,11500.0,36325.0,28875.0,52875.0,65825.0,162500.0,23600.0,41000.0,15750.0,13900.0,2021.0
73,11500.0,34320.0,29240.0,33480.0,55110.0,139820.0,23570.0,40920.0,16130.0,13900.0,2021.0
74,11500.0,33325.0,30062.5,28312.5,44875.0,134175.0,23975.0,38137.5,16350.0,13775.0,2021.0
75,11500.0,32812.5,30137.5,27800.0,39600.0,133350.0,25225.0,38000.0,15900.0,13400.0,2021.0
76,11500.0,31650.0,29590.0,27820.0,40900.0,133350.0,25500.0,36990.0,15900.0,13400.0,2021.0
77,11500.0,32120.0,28800.0,24050.0,39430.0,133350.0,25210.0,36490.0,15900.0,13400.0,2021.0
78,11500.0,32100.0,27600.0,26920.0,47770.0,133350.0,23910.0,35610.0,15900.0,13300.0,2021.0
79,11500.0,33390.0,28090.0,29910.0,60230.0,133350.0,23710.0,34680.0,15900.0,13150.0,2021.0
80,11500.0,34070.0,28020.0,26860.0,65020.0,133350.0,22730.0,34600.0,15900.0,13150.0,2021.0
81,11500.0,34400.0,27900.0,27140.0,67920.0,133350.0,22320.0,33800.0,15900.0,13150.0,2021.0
82,11500.0,38625.0,29150.0,37037.5,73375.0,136675.0,24112.5,34287.5,15900.0,13150.0,2021.0
83,11500.0,38260.0,28390.0,30930.0,62220.0,133350.0,24740.0,33420.0,16300.0,13150.0,2021.0
84,11500.0,36580.0,28870.0,25470.0,45790.0,133350.0,25090.0,35160.0,16420.0,13190.0,2021.0
85,11500.0,34062.5,28787.5,26037.5,36062.5,133350.0,23787.5,35362.5,16500.0,13162.5,2021.0
86,11500.0,30800.0,28650.0,22687.5,28562.5,133350.0,23137.5,34650.0,16500.0,13050.0,2021.0
87,11500.0,28730.0,26980.0,21120.0,23750.0,133350.0,22020.0,34580.0,16500.0,13050.0,2021.0
88,11420.0,27420.0,26990.0,20960.0,24010.0,133350.0,21050.0,35900.0,16500.0,13050.0,2021.0
89,11690.0,29020.0,27720.0,22020.0,23560.0,133350.0,19830.0,36390.0,16740.0,12970.0,2021.0
90,11700.0,28130.0,27790.0,23300.0,24930.0,133350.0,19120.0,35500.0,16900.0,12950.0,2021.0
91,11700.0,26650.0,27640.0,24250.0,25940.0,133350.0,18690.0,35650.0,16900.0,12950.0,2021.0
92,11700.0,26270.0,27080.0,26870.0,25370.0,133350.0,18910.0,34690.0,16900.0,12950.0,2021.0
93,11700.0,27740.0,26970.0,32790.0,29130.0,133350.0,19250.0,35130.0,16900.0,12950.0,2021.0
94,11700.0,29450.0,27450.0,35410.0,29780.0,133350.0,18740.0,36480.0,17120.0,12950.0,2021.0
95,11700.0,29887.5,27612.5,36175.0,29437.5,133350.0,18675.0,36862.5,17250.0,12950.0,2021.0
96,11700.0,26530.0,27250.0,36050.0,26220.0,133350.0,18980.0,35930.0,17610.0,12950.0,2021.0
97,11700.0,25980.0,27340.0,45040.0,26450.0,133350.0,20620.0,34600.0,18320.0,12950.0,2021.0
98,11700.0,25710.0,27310.0,50190.0,26940.0,133350.0,23860.0,34920.0,18750.0,12950.0,2021.0
99,11700.0,24680.0,27270.0,48170.0,27740.0,133350.0,24610.0,34910.0,19100.0,12950.0,2021.0
100,11700.0,22150.0,26210.0,47270.0,30630.0,133350.0,23250.0,35190.0,19400.0,12950.0,2021.0
101,11700.0,23050.0,26070.0,47390.0,43470.0,133350.0,21680.0,35660.0,19840.0,12950.0,2021.0
102,11700.0,23800.0,25730.0,46550.0,63310.0,133350.0,21200.0,36430.0,19900.0,12950.0,2021.0
103,11700.0,27220.0,25800.0,47210.0,81460.0,133350.0,24590.0,36800.0,19900.0,12950.0,2021.0
104,11700.0,27100.0,26220.0,42560.0,95820.0,133350.0,27620.0,37150.0,19900.0,12950.0,2021.0
105,11970.0,27490.0,26710.0,43270.0,106000.0,133350.0,31560.0,38990.0,20200.0,12950.0,2021.0
106,12000.0,27330.0,26760.0,38720.0,87680.0,133350.0,27350.0,38850.0,20200.0,12950.0,2022.0
107,12000.0,26240.0,26760.0,27740.0,57210.0,133350.0,24910.0,39880.0,20300.0,12950.0,2022.0
108,12000.0,26660.0,27390.0,33710.0,49200.0,133350.0,22360.0,40670.0,20450.0,12950.0,2022.0
109,11950.0,28080.0,27580.0,33890.0,38840.0,133350.0,20850.0,39200.0,20450.0,13370.0,2022.0
110,11950.0,32025.0,29162.5,31725.0,35487.5,133350.0,20087.5,36612.5,20450.0,13500.0,2022.0
111,11950.0,38380.0,28620.0,36200.0,44030.0,133350.0,19910.0,36310.0,19930.0,13500.0,2022.0
112,11950.0,38720.0,28650.0,38770.0,47230.0,133350.0,20010.0,35860.0,18350.0,13500.0,2022.0
113,11910.0,38510.0,27990.0,44190.0,56010.0,133350.0,21870.0,35930.0,17500.0,13500.0,2022.0
114,11900.0,39000.0,28550.0,45933.333333333336,68200.0,139733.33333333334,22333.333333333332,37133.333333333336,17500.0,13500.0,2022.0
115,11900.0,37850.0,28530.0,51050.0,71440.0,140850.0,24710.0,37280.0,17220.0,13500.0,2022.0
116,11900.0,35860.0,30350.0,49140.0,62400.0,137170.0,24400.0,37000.0,19150.0,13580.0,2022.0
117,11900.0,32850.0,31580.0,47870.0,55220.0,139150.0,24750.0,37190.0,24500.0,13550.0,2022.0
118,11900.0,32220.0,31870.0,46980.0,53910.0,145250.0,25600.0,38490.0,24590.0,13810.0,2022.0
119,11900.0,34890.0,32270.0,49230.0,52270.0,144680.0,25460.0,40370.0,24750.0,13950.0,2022.0
120,11900.0,33825.0,30575.0,36312.5,43087.5,143350.0,24262.5,39150.0,24750.0,13950.0,2022.0
121,11900.0,35890.0,31120.0,32650.0,31800.0,144010.0,24060.0,39110.0,24750.0,14550.0,2022.0
122,11900.0,43262.5,31362.5,46087.5,40112.5,151237.5,25987.5,41725.0,24750.0,14550.0,2022.0
123,,,,,,,,,,,2022.0
124,11900.0,43600.0,29980.0,34780.0,35550.0,147160.0,27500.0,40560.0,24750.0,14550.0,2022.0
125,11800.0,46300.0,28700.0,40750.0,47437.5,142500.0,26975.0,37875.0,24750.0,14550.0,2022.0
126,11700.0,48187.5,29212.5,51337.5,56800.0,142500.0,28025.0,36287.5,24750.0,14550.0,2022.0
127,11700.0,47762.5,26925.0,62662.5,76975.0,142500.0,28650.0,38087.5,24650.0,14550.0,2022.0
128,11700.0,55200.0,26120.0,73700.0,96720.0,142500.0,30210.0,41000.0,24350.0,14550.0,2022.0
129,11700.0,57190.0,23730.0,86010.0,105850.0,142500.0,28780.0,39270.0,24170.0,14550.0,2022.0
130,11700.0,62980.0,23910.0,90850.0,103770.0,142500.0,27260.0,38090.0,23750.0,14550.0,2022.0
131,11700.0,65190.0,23780.0,91710.0,108820.0,142500.0,26990.0,38820.0,23650.0,14550.0,2022.0
132,11700.0,73460.0,24440.0,100940.0,110690.0,144000.0,27340.0,39140.0,23150.0,14550.0,2022.0
133,11700.0,70540.0,24750.0,113310.0,115090.0,142500.0,28470.0,40780.0,23100.0,14550.0,2022.0
134,11700.0,55090.0,25610.0,88830.0,86030.0,142500.0,28150.0,38520.0,23100.0,14550.0,2022.0
135,11690.0,42570.0,24780.0,79460.0,71510.0,142500.0,28060.0,38360.0,22170.0,14560.0,2022.0
136,11700.0,41280.0,24950.0,71530.0,69630.0,142500.0,27570.0,37680.0,21280.0,14550.0,2022.0
137,11780.0,38580.0,24920.0,69390.0,66040.0,142500.0,27570.0,36540.0,20650.0,14550.0,2022.0
