,Tanggal,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun,Minggu ke
0,2020-01-01,,,,,,,,,,,2020,1
1,2020-01-02,12150.0,39250.0,32250.0,67500.0,59100.0,121250.0,25900.0,37100.0,13450.0,13200.0,2020,1
2,2020-01-03,12200.0,38900.0,31100.0,63000.0,60850.0,121250.0,25850.0,37100.0,13500.0,13200.0,2020,1
3,2020-01-06,12250.0,36650.0,31250.0,64250.0,76150.0,121250.0,25650.0,35850.0,13500.0,13200.0,2020,2
4,2020-01-07,12250.0,34600.0,31400.0,63600.0,64150.0,121250.0,25600.0,35900.0,13550.0,13350.0,2020,2
5,2020-01-08,12250.0,34750.0,31500.0,64250.0,70600.0,121250.0,25600.0,35350.0,13550.0,13450.0,2020,2
6,2020-01-09,12250.0,33350.0,32000.0,62600.0,73850.0,121250.0,25900.0,36350.0,13550.0,13450.0,2020,2
7,2020-01-10,12250.0,33850.0,33500.0,64650.0,72000.0,121250.0,25750.0,36100.0,13550.0,13450.0,2020,2
8,2020-01-13,12250.0,36150.0,32600.0,67900.0,78150.0,121250.0,25600.0,36350.0,13700.0,13750.0,2020,3
9,2020-01-14,12250.0,36100.0,33900.0,68750.0,78250.0,121250.0,25600.0,36250.0,13700.0,13750.0,2020,3
10,2020-01-15,12400.0,35250.0,33250.0,66350.0,85750.0,121250.0,25650.0,35900.0,13750.0,13800.0,2020,3
11,2020-01-16,12400.0,34100.0,34650.0,65900.0,82000.0,121250.0,25250.0,34850.0,13750.0,13800.0,2020,3
12,2020-01-17,12400.0,33900.0,34650.0,66250.0,81750.0,121250.0,24350.0,34850.0,13750.0,13800.0,2020,3
13,2020-01-20,12400.0,36000.0,36000.0,69500.0,91100.0,121250.0,24100.0,35150.0,13750.0,13900.0,2020,4
14,2020-01-21,12400.0,35750.0,35000.0,69100.0,88850.0,121250.0,24100.0,35350.0,13750.0,13900.0,2020,4
15,2020-01-22,12400.0,34850.0,35350.0,69250.0,89500.0,121250.0,23350.0,35400.0,13950.0,13950.0,2020,4
16,2020-01-23,12400.0,33900.0,36100.0,67350.0,91500.0,121250.0,23150.0,35600.0,13950.0,13950.0,2020,4
17,2020-01-24,12400.0,34100.0,36000.0,65850.0,91400.0,121250.0,23150.0,35650.0,13950.0,13950.0,2020,4
18,2020-01-27,12400.0,34350.0,35350.0,64500.0,90900.0,121250.0,23000.0,35600.0,13950.0,13950.0,2020,5
19,2020-01-28,12400.0,33900.0,34650.0,63750.0,90350.0,121250.0,22850.0,35600.0,13950.0,13950.0,2020,5
20,2020-01-29,12400.0,34100.0,35250.0,67150.0,93650.0,121250.0,22750.0,35000.0,13950.0,13950.0,2020,5
21,2020-01-30,12400.0,34350.0,35400.0,73350.0,92750.0,121250.0,22750.0,35000.0,13950.0,13950.0,2020,5
22,2020-01-31,12400.0,35100.0,35400.0,73850.0,90650.0,121250.0,22750.0,35100.0,13950.0,14000.0,2020,5
23,2020-02-03,12400.0,33650.0,39650.0,77650.0,87900.0,121250.0,22850.0,35100.0,13950.0,14000.0,2020,6
24,2020-02-04,12400.0,35400.0,43500.0,75350.0,89250.0,121250.0,22900.0,34850.0,13900.0,14000.0,2020,6
25,2020-02-05,12400.0,34850.0,53600.0,71350.0,90500.0,121250.0,23350.0,34900.0,13900.0,14000.0,2020,6
26,2020-02-06,12400.0,34000.0,53750.0,72150.0,89350.0,121250.0,23400.0,35100.0,13900.0,14000.0,2020,6
27,2020-02-07,12400.0,35000.0,54000.0,69350.0,82750.0,121250.0,23500.0,35250.0,13900.0,14000.0,2020,6
28,2020-02-10,12400.0,32750.0,58900.0,62250.0,80000.0,121250.0,23750.0,35650.0,13900.0,14000.0,2020,7
29,2020-02-11,12400.0,32750.0,59000.0,61250.0,77250.0,121250.0,24000.0,35900.0,13900.0,14000.0,2020,7
30,2020-02-12,12400.0,32350.0,57150.0,63900.0,80350.0,121250.0,24150.0,35900.0,13900.0,14000.0,2020,7
31,2020-02-13,12400.0,31650.0,54250.0,57750.0,75850.0,121250.0,24750.0,35900.0,13900.0,14000.0,2020,7
32,2020-02-14,12400.0,31000.0,51850.0,56650.0,57000.0,121250.0,26100.0,36100.0,13900.0,14000.0,2020,7
33,2020-02-17,12400.0,30400.0,52000.0,45000.0,54400.0,121250.0,26350.0,36000.0,13900.0,14050.0,2020,8
34,2020-02-18,12400.0,31350.0,49100.0,49350.0,55400.0,121250.0,26350.0,36250.0,13900.0,14350.0,2020,8
35,2020-02-19,12400.0,32600.0,49250.0,49400.0,53650.0,121250.0,26400.0,36100.0,13900.0,14350.0,2020,8
