Minggu ke-,Beras Kualitas Medium I,Bawang Merah Ukuran Sedang,Bawang Putih Ukuran Sedang,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Kualitas 1,Telur Ayam Ras Segar,Daging Ayam Ras Segar,Minyak Goreng Kemasan Bermerk 1,Gula Pasir Lokal
1,12175,39075,31675,65250,59975,121250,25875,37100,13475,13200
2,12250,34640,31930,63870,71350,121250,25700,35910,13540,13380
3,12340,35100,33810,67030,81180,121250,25290,35640,13730,13780
4,12400,34920,35690,68210,90470,121250,23570,35430,13870,13930
5,12400,34360,35210,68520,91660,121250,22820,35260,13950,13960
6,12400,34580,48900,73170,87950,121250,23200,35040,13910,14000
7,12400,32100,56230,60360,74090,121250,24550,35890,13900,14000
8,12400,31470,48380,51470,54290,121250,26400,36110,13900,14360
9,12400,30170,46600,61720,43980,121250,26220,36340,13900,14650
10,12400,30900,45570,48550,40830,121250,25950,36360,13660,15510
11,12400,34690,42620,42230,43710,121250,26210,36300,13500,17240
12,12400,37010,42680,37190,55960,121250,26440,36250,13400,17380
13,12400,42250,46238,34375,62938,121250,26488,35088,13400,18188
14,12400,45970,45780,29470,58890,121250,25790,34750,13400,18500
15,12400,49367,42850,26912,51056,121250,25362,33856,13400,18495
16,12400,47710,39140,25250,36630,122000,24680,33750,13400,18900
17,12250,49463,38013,23963,33688,121650,23238,33188,13400,18900
18,12100,52013,35363,22463,30088,121650,21613,32463,13325,17688
19,12100,52430,35260,21800,27810,121650,20610,34580,13700,17660
20,12100,57934,33084,23100,31984,126650,21034,37417,13800,17600
21,12100,58938,31850,26438,29938,134488,23338,38400,13800,17300
22,12100,59475,29100,22375,26838,124150,23450,37988,13800,16150
23,12100,57130,27370,21490,24360,122500,24050,42100,13800,16020
24,12100,49490,25150,22730,24470,122500,25280,41430,13800,15830
25,12100,47040,23280,21320,23030,122500,26970,40680,13320,15440
26,12100,43250,22150,22020,26380,122500,26600,41320,13350,14860
27,12100,39970,20960,23250,28340,122500,25780,39900,13350,14440
28,11950,36850,20770,24150,32450,122500,26260,36690,13230,13840
29,11850,34100,21080,24270,28150,122500,26240,34700,13200,13750
30,11850,32238,21063,25838,28963,125213,26038,35813,13313,13600
31,11850,33490,21000,27050,29690,122490,25280,35920,13500,13750
32,11850,32590,20840,25090,26850,121650,25280,34200,13950,13750
33,11850,28950,22625,22450,24450,121650,25000,34800,13950,13750
34,11850,27590,23520,22180,23410,121650,24740,32840,13950,13530
35,11810,27940,25030,21730,24690,121650,23840,33330,14000,13550
36,11650,28470,25690,24930,25230,121650,23200,33310,14190,13570
37,11650,29260,25420,24310,25620,121650,22380,31540,14200,13600
38,11650,29230,25750,26770,26300,121650,21840,33020,14200,13600
39,11650,30280,26120,33490,28080,121650,21530,31550,14200,13600
40,11600,33780,25650,38660,26630,121650,20850,32730,14200,13600
41,11600,33930,25750,39720,25580,121650,21730,32690,14170,13600
42,11600,34510,25120,39690,26170,121650,23930,33740,14200,13400
43,11600,34750,25500,43250,27175,121650,23600,35125,14200,13550
44,11600,35860,25810,42390,31800,121650,23530,35330,14200,13700
45,11600,36180,25960,40180,33400,121650,24240,36150,14530,13700
46,11600,35900,26430,41140,34310,121650,25680,36490,14900,13700
47,11600,34770,26600,41930,40700,121650,25890,35660,14850,13700
48,11600,33180,26090,51350,50310,121650,25960,34950,14850,13700
49,11600,33400,26475,58900,56038,121650,26850,35963,14850,13700
50,11600,31520,26510,57980,55740,121650,28470,37420,14850,13700
51,11600,29217,25684,67750,60750,121650,28500,37150,14850,13700
52,11600,28550,26050,60634,64650,121650,27334,37234,14850,13700
53,11600,28800,26410,60340,93630,121650,24920,37150,14850,13700
54,11600,27340,25380,52210,91840,121650,23970,36770,14900,13700
55,11600,27100,25360,49590,81030,121650,23220,36540,14900,13700
56,11600,27770,26020,44080,86780,126740,22300,37100,14900,13700
57,11600,29390,27240,58600,82900,127900,21900,36150,14900,13700
58,11600,32063,26813,62788,80950,127900,24100,37675,14900,13700
59,11600,32690,28270,56370,97630,129260,25030,37770,14900,13700
60,11600,33020,27810,59220,108090,129600,24780,37390,14900,13700
61,11600,38010,28840,57040,113100,129600,24110,37050,14900,13700
62,11600,37350,28400,54313,118713,129600,24200,37250,14900,13700
63,11600,37370,27920,54560,133140,129600,23220,37140,15130,13700
64,11510,35650,28840,54400,123330,129600,22320,37260,15400,13700
65,11500,34813,28450,53138,102850,129600,21250,38375,15400,13700
66,11500,32507,27867,48980,71810,135114,24284,41434,15377,13727
67,11500,33580,27790,47170,77770,139660,25290,43260,15380,13730
68,11500,32580,27980,47350,54260,135000,24750,39840,15350,13700
69,11500,33100,28040,36040,56510,135990,23570,39010,15350,13900
70,11500,32340,27780,37550,60580,135000,23100,38400,15590,13900
71,11500,36325,28875,52875,65825,162500,23600,41000,15750,13900
72,11500,34320,29240,33480,55110,139820,23570,40920,16130,13900
73,11500,33325,30063,28313,44875,134175,23975,38138,16350,13775
74,11500,32813,30138,27800,39600,133350,25225,38000,15900,13400
75,11500,31650,29590,27820,40900,133350,25500,36990,15900,13400
76,11500,32120,28800,24050,39430,133350,25210,36490,15900,13400
77,11500,32100,27600,26920,47770,133350,23910,35610,15900,13300
78,11500,33390,28090,29910,60230,133350,23710,34680,15900,13150
79,11500,34070,28020,26860,65020,133350,22730,34600,15900,13150
80,11500,34400,27900,27140,67920,133350,22320,33800,15900,13150
